id,host_since,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,Essentials,TV,Air conditioning,Elevator,Hangers,Washer,Iron,Laptop friendly workspace,Family/kid friendly,Hot water,Cable TV,Hair dryer,Free parking on premises,Smoking allowed,Dishes and silverware,Refrigerator,Doorman,Buzzer/wireless intercom,property_type_Apartment,room_type_Private room,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,neighbourhood_mean_price
14107604,2016.0,0,1.0,1.0,0,1,5,2.0,2.0,2.0,1196.0,1,3,60,3,3,60,60,3.0,60.0,29,59,89,89,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,521.9021479713604
31375698,2016.0,0,2.0,2.0,0,1,1,1.0,1.0,1.0,42.0,2,1,400,1,1,400,400,1.0,400.0,0,0,0,234,1,1,0,2,0,2,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,521.9021479713604
6778993,2014.0,0,4.0,4.0,1,1,4,1.0,0.0,3.0,138.0,2,3,1125,3,7,1125,1125,3.1,1125.0,3,31,61,102,53,11,0,4,4,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,521.9021479713604
12981948,2014.0,0,1.0,1.0,1,1,7,3.0,4.0,5.0,386.0,1,4,90,4,6,90,90,4.0,90.0,13,27,47,47,9,6,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,521.9021479713604
16218820,2013.0,0,1.0,1.0,0,1,4,1.0,1.0,2.0,301.0,1,5,10,5,5,10,10,5.0,10.0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,521.9021479713604
17697689,2014.0,0,1.0,1.0,0,1,2,1.0,1.0,1.0,109.0,1,1,1125,1,4,1125,1125,1.1,1125.0,29,54,84,84,11,3,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,521.9021479713604
30775779,2016.0,0,261.0,261.0,1,1,10,1.0,2.0,4.0,327.0,1,3,1125,3,5,1125,1125,3.0,1125.0,22,47,77,352,2,2,0,185,180,5,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,521.9021479713604
13846455,2016.0,0,1.0,1.0,0,1,4,2.0,2.0,2.0,801.0,1,4,31,4,4,31,31,4.0,31.0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,521.9021479713604
18562605,2015.0,0,1.0,1.0,1,1,5,2.5,2.0,3.0,327.0,5,2,1125,1,2,1125,1125,1.7,1125.0,4,25,55,330,12,6,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,521.9021479713604
30426487,2013.0,1,8.0,8.0,0,1,2,1.0,1.0,1.0,256.0,2,1,90,2,5,90,90,2.4,90.0,27,57,87,177,20,17,1,8,8,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,521.9021479713604
